"Angle","Shift_X","Shift_Y","mIoU"
"-0.2","-60","20","0.837"
"-0.2","-60","40","0.836"
"-0.2","-60","60","0.834"
"-0.2","-60","80","0.841"
"-0.2","-40","-80","0.837"
"-0.2","-40","-60","0.837"
"-0.2","-40","-40","0.837"
"-0.2","-40","-20","0.831"
"-0.2","-40","0","0.836"
"-0.2","-40","20","0.837"
"-0.2","-40","40","0.836"
"-0.2","-40","60","0.836"
"-0.2","-40","80","0.841"
"-0.2","-20","-80","0.834"
"-0.2","-20","-60","0.834"
"-0.2","-20","-40","0.83"
"-0.2","-20","-20","0.828"
"-0.2","-20","0","0.832"
"-0.2","-20","20","0.832"
"-0.2","-20","40","0.831"
"-0.2","-20","60","0.834"
"-0.2","-20","80","0.838"
"-0.2","0","-80","0.831"
"-0.2","0","-60","0.831"
"-0.2","0","-40","0.832"
"-0.2","0","-20","0.827"
"-0.2","0","0","0.83"
"-0.2","0","20","0.83"
"-0.2","0","40","0.832"
"-0.2","0","60","0.832"
"-0.2","0","80","0.837"
"-0.2","20","-80","0.831"
"-0.2","20","-60","0.83"
"-0.2","20","-40","0.83"
"-0.2","20","-20","0.827"
"-0.2","20","0","0.829"
"-0.2","20","20","0.83"
"-0.2","20","40","0.83"
"-0.2","20","60","0.829"
"-0.2","20","80","0.835"
"-0.2","40","-80","0.835"
"-0.2","40","-60","0.833"
"-0.2","40","-40","0.832"
"-0.2","40","-20","0.828"
"-0.2","40","0","0.832"
